trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
119,False,"{'a': 0.5, 'e': 0.3024044356690215}",20,2,-27.391195876434043,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
120,False,"{'a': 0.5, 'e': 0.29938039131233124}",20,6,-40.972473581707604,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
121,False,"{'a': 0.5, 'e': 0.2963865873992079}",25,0,-63.42156189947059,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
122,False,"{'a': 0.5, 'e': 0.29342272152521587}",20,9,5.647819405826983,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.2904884943099637}",25,8,-17.471687175376164,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
124,False,"{'a': 0.5, 'e': 0.28758360936686406}",20,0,17.674817836793384,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
125,False,"{'a': 0.5, 'e': 0.2847077732731954}",25,13,12.713141407393351,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.28186069554046345}",20,0,27.13344855150917,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
127,False,"{'a': 0.5, 'e': 0.2790420885850588}",25,16,-7.265661318207251,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.2762516676992082}",20,0,16.429002975253688,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
129,False,"{'a': 0.5, 'e': 0.27348915102221616}",20,0,-63.755346305264965,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
130,False,"{'a': 0.5, 'e': 0.270754259511994}",25,0,-38.37750306666858,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
131,False,"{'a': 0.5, 'e': 0.26804671691687404}",25,13,0.7102672928536131,"{0: 9, 1: 3, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.2653662497477053}",20,15,-13.150413868151507,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.2627125872502282}",20,6,19.996052132446575,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.2600854613777259}",25,9,25.20923337841886,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.2574846067639487}",20,9,7.963083273483415,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.2549097606963092}",20,10,-44.03161423858101,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
137,False,"{'a': 0.5, 'e': 0.2523606630893461}",20,9,21.062216429240657,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.24983705645845267}",25,17,15.352241681968927,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.24733868589386815}",20,4,15.4147613428744,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.24486529903492946}",20,0,12.683761720011628,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
141,False,"{'a': 0.5, 'e': 0.24241664604458016}",20,12,-8.067012098484579,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.23999247958413436}",35,0,-34.75280727140872,"{0: 32, 1: 1, 2: 0, 3: 0, 4: 2}",0
143,False,"{'a': 0.5, 'e': 0.23759255478829303}",25,0,11.38476622187669,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
144,False,"{'a': 0.5, 'e': 0.2352166292404101}",25,11,-76.63646309932219,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 2}",1
145,False,"{'a': 0.5, 'e': 0.232864462948006}",20,3,24.69705578737061,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.23053581831852593}",25,0,28.223383323625047,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
147,False,"{'a': 0.5, 'e': 0.22823046013534068}",20,0,-11.931666385569821,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
148,False,"{'a': 0.5, 'e': 0.22594815553398728}",20,0,-1.497041214734148,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
149,False,"{'a': 0.5, 'e': 0.22368867397864742}",20,10,-59.90677908241049,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 1}",1
150,False,"{'a': 0.5, 'e': 0.22145178723886094}",25,0,-54.5284594538152,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
151,False,"{'a': 0.5, 'e': 0.21923726936647234}",20,8,15.741181585056975,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.2170448966728076}",20,8,-2.542076994326203,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.21487444770607952}",25,0,20.522929707142,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
154,False,"{'a': 0.5, 'e': 0.21272570322901874}",25,8,-21.60248558675911,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
155,False,"{'a': 0.5, 'e': 0.21059844619672854}",30,11,33.58049834621848,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.20849246173476127}",25,17,15.947242543362794,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.20640753711741366}",20,12,15.87455573001967,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.20434346174623952}",20,0,-38.402478741879754,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
159,False,"{'a': 0.5, 'e': 0.20230002712877712}",30,3,21.359196703283516,"{0: 25, 1: 0, 2: 2, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.20027702685748935}",25,0,-42.98292214749113,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
161,False,"{'a': 0.5, 'e': 0.19827425658891445}",20,9,19.273407215484994,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.1962915140230253}",30,14,16.626447553819087,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.19432859888279505}",20,13,12.901037483922618,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.1923853128939671}",20,6,25.69253410919449,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.19046145976502743}",20,10,5.807654662697177,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.18855684516737714}",20,5,25.676169071439148,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.18667127671570335}",30,19,-14.723226263229936,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.18480456394854633}",20,7,26.963639980031527,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
