trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.1, 'e': 0.11018311023500525}",25,13,10.008427472008016,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
44,False,"{'a': 0.1, 'e': 0.10467395472325498}",20,5,15.162435508258117,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
45,False,"{'a': 0.1, 'e': 0.09944025698709223}",30,17,18.593011432395095,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.1, 'e': 0.09446824413773762}",20,10,18.700425148544593,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.1, 'e': 0.08974483193085074}",20,14,12.785574303874006,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.1, 'e': 0.0852575903343082}",20,14,14.539155657980507,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.1, 'e': 0.08099471081759278}",20,10,18.47911016112982,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.1, 'e': 0.07694497527671314}",20,0,27.569509546905287,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
51,False,"{'a': 0.1, 'e': 0.07309772651287748}",20,3,27.61028789187048,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.1, 'e': 0.0694428401872336}",30,3,42.70066212121741,"{0: 26, 1: 1, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.1, 'e': 0.0659706981778719}",20,5,26.20806201738582,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.1, 'e': 0.0626721632689783}",20,0,31.87676194475203,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
55,False,"{'a': 0.1, 'e': 0.059538555105529384}",20,7,15.811954177068083,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.1, 'e': 0.05656162735025291}",20,1,25.8174590971813,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.1, 'e': 0.053733545982740265}",30,22,-28.98565178579424,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
58,False,"{'a': 0.1, 'e': 0.05104686868360325}",25,13,18.4740116650587,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.1, 'e': 0.04849452524942309}",20,0,15.974035710569044,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,14,21.496504083203046,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,12,17.28132981553932,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,18,22.48370542045481,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,18,15.40086053262112,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,8,34.292149577146795,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,15,10.194759716379844,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,11,34.39099589522493,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,12,16.47116322594829,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,0,19.658879793528744,"{0: 26, 1: 4, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,13,21.439137402649397,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
