trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
46,False,"{'a': 0.5, 'e': 0.09446824413773762}",25,0,38.14015088047644,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.08974483193085074}",25,0,38.54916001031831,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.0852575903343082}",25,0,19.604873049806482,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.08099471081759278}",20,9,20.246939624688675,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.07694497527671314}",35,17,27.600326320045852,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.07309772651287748}",35,0,36.49062497074373,"{0: 33, 1: 2, 2: 0, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.0694428401872336}",20,0,32.14599224670969,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.0659706981778719}",30,0,46.27810844981019,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.0626721632689783}",30,14,23.383114011151587,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.059538555105529384}",25,0,36.521893989161626,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.05656162735025291}",20,0,23.744870417145517,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.053733545982740265}",25,0,37.8671757907179,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.05104686868360325}",20,0,32.99764272847694,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.04849452524942309}",25,11,20.7158003115086,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,0,20.934829073916916,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,0,32.64427313548176,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,22.24020073989487,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",35,0,47.4721076566603,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",30,0,40.47430394418873,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",30,17,15.324944022232085,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,0,29.194373651456544,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,11,17.007577609510097,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,0,41.35412402436244,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,13,18.74742907858066,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
